A=5668 B=4816 C=8853 X=885784998 Y=2813551299 Z=21961415592 M=1379
A=3558 B=4518 C=8650 X=639383805 Y=1873320891 Z=24928371211 M=4719
A=9462 B=9561 C=7104 X=353022864 Y=8724180983 Z=73462983880 M=3935
A=8478 B=3522 C=8473 X=964736873 Y=3187228815 Z=68545207268 M=1461
A=4618 B=5286 C=9372 X=374218636 Y=1201584541 Z=93210015483 M=7174
A=9106 B=8451 C=8150 X=667135583 Y=3574839357 Z=11106125588 M=5951
A=2293 B=8959 C=5300 X=952059490 Y=9846270876 Z=10709278878 M=9014
A=2137 B=5281 C=5644 X=125602855 Y=8100583523 Z=48660553508 M=1015
A=8594 B=6150 C=8752 X=128460540 Y=2357450662 Z=84383946943 M=2497
A=5386 B=6182 C=8893 X=243277937 Y=3620249806 Z=92621471370 M=4772
A=5696 B=3784 C=6102 X=251156153 Y=7932277295 Z=81903014559 M=4787
A=7021 B=3311 C=7142 X=721590633 Y=5860553084 Z=55759831811 M=6720
A=6853 B=8547 C=7831 X=107496861 Y=5012445575 Z=50292569696 M=2600
A=6087 B=5673 C=5278 X=444659293 Y=3488757261 Z=35370137519 M=5353
A=4063 B=5314 C=8780 X=597256138 Y=3332388085 Z=49453341427 M=2662
A=4656 B=9257 C=6337 X=486260157 Y=7561934088 Z=93389631454 M=4353
A=8838 B=6933 C=7049 X=993172916 Y=3261126657 Z=71620274585 M=7030
A=4170 B=8690 C=5524 X=200202548 Y=2996455680 Z=50344133785 M=3915
A=3441 B=8823 C=7556 X=383497739 Y=1826874045 Z=27288050673 M=6956
A=8122 B=5361 C=7741 X=530056321 Y=2031575243 Z=19295368814 M=3013
A=7214 B=5778 C=7983 X=149777855 Y=2826955515 Z=72968834325 M=9440
A=4503 B=3775 C=7159 X=750651462 Y=2837245527 Z=91887472103 M=3177
A=6447 B=9450 C=6655 X=707211644 Y=9415094685 Z=53769310159 M=8262
A=3096 B=3479 C=6657 X=110862862 Y=6951788415 Z=66617858615 M=4191
A=2872 B=5359 C=6631 X=126286454 Y=9099505887 Z=48955407867 M=7435
A=4524 B=5616 C=8250 X=705776165 Y=7162473385 Z=14389149421 M=6304
A=5185 B=5988 C=8685 X=931764600 Y=4941725906 Z=28795065357 M=2447
A=2195 B=7318 C=7723 X=557902295 Y=3893610229 Z=99606033526 M=3225
A=9076 B=9522 C=7502 X=876208769 Y=3913901260 Z=67212660501 M=3237
A=2303 B=8163 C=7466 X=634332301 Y=5135297312 Z=39269952906 M=2078
A=6152 B=4844 C=7647 X=768801699 Y=5989179365 Z=41047382593 M=3788
A=8827 B=4317 C=8755 X=434534796 Y=1941587527 Z=28551672925 M=3436
A=8339 B=4552 C=5586 X=337616296 Y=6453085166 Z=55801449019 M=1974
A=8506 B=5853 C=8422 X=675247539 Y=1136640630 Z=27098449899 M=8389
A=3504 B=5496 C=8022 X=603616314 Y=6194385755 Z=83419354727 M=5769
A=9557 B=5700 C=6019 X=113511065 Y=9965683712 Z=61709562250 M=3914
A=6035 B=5402 C=8757 X=183523655 Y=1740956200 Z=64029126288 M=1439
A=4551 B=5877 C=9645 X=768102710 Y=1885065155 Z=47752939509 M=5363
A=2532 B=4381 C=5345 X=239129026 Y=6373643313 Z=71002157144 M=2459
A=5752 B=9927 C=6163 X=723941983 Y=9172297318 Z=17778476589 M=9902
A=7052 B=4781 C=7910 X=786544581 Y=1063342095 Z=44044271486 M=3839
A=2148 B=9206 C=5174 X=601000497 Y=6247353556 Z=41298812307 M=4821
A=2186 B=7448 C=8746 X=785878945 Y=8018265407 Z=60209857631 M=1790
A=5053 B=3138 C=6035 X=483920736 Y=2057871041 Z=78362804642 M=3162
A=8720 B=9813 C=8356 X=195487645 Y=2030482355 Z=40885327050 M=2837
A=6444 B=9778 C=9964 X=768801068 Y=8458175562 Z=41791844139 M=8567
A=2025 B=7042 C=6175 X=130989646 Y=2618532116 Z=43966203969 M=3136
A=5608 B=4309 C=7208 X=828717762 Y=7511215989 Z=21676911222 M=2448
A=5002 B=8043 C=9016 X=522625190 Y=3355782979 Z=77979657816 M=9166
A=3614 B=3834 C=8258 X=111310761 Y=1801502528 Z=98103796177 M=1581
A=3184 B=8952 C=6214 X=790071575 Y=5001124956 Z=20165903551 M=1238
A=3510 B=3068 C=9476 X=549213974 Y=8140973859 Z=27679326302 M=3482
A=9113 B=5157 C=6779 X=829826479 Y=5457414319 Z=29184019023 M=3659
A=2940 B=8392 C=5690 X=815998230 Y=2289287583 Z=41908681482 M=7737
A=5168 B=6814 C=8233 X=437308512 Y=8601078691 Z=40747964931 M=9491
A=9279 B=6896 C=9473 X=899391074 Y=5221384601 Z=77467829699 M=6397
A=4541 B=3812 C=9720 X=234523529 Y=6048348650 Z=89990150599 M=8072
A=4051 B=8727 C=9941 X=982118396 Y=8170851541 Z=18486565502 M=7707
A=2435 B=3800 C=6104 X=728144549 Y=6426478489 Z=38226502527 M=6524
A=6455 B=5781 C=5483 X=452976885 Y=2286662133 Z=91228844176 M=4515
A=3188 B=5498 C=9356 X=322626416 Y=4274790475 Z=31852655238 M=4769
A=2953 B=6096 C=8241 X=440463488 Y=3236067438 Z=86634677371 M=4552
A=2765 B=8556 C=7294 X=468700027 Y=2671673137 Z=91439498864 M=1791
A=6860 B=5589 C=7069 X=660508109 Y=8503656455 Z=28951247608 M=5577
A=3930 B=7735 C=5469 X=829811412 Y=5694876442 Z=76086937665 M=3119
A=5796 B=8176 C=8149 X=197957141 Y=2698735874 Z=36206217790 M=3914
A=9811 B=6475 C=8000 X=466660717 Y=9659219469 Z=81113330960 M=3908
A=3230 B=6079 C=8043 X=548433847 Y=5239772585 Z=93321308204 M=2805
A=2319 B=5965 C=8053 X=272438997 Y=2614739563 Z=15525238348 M=5333
A=5583 B=9505 C=7060 X=635533918 Y=6031003431 Z=31699446228 M=6796
A=3094 B=3006 C=7784 X=956909138 Y=3185694600 Z=85415064505 M=4647
A=5247 B=5642 C=8943 X=527389399 Y=9727193522 Z=27254023969 M=2918
A=7640 B=7610 C=8381 X=728964794 Y=8276556905 Z=11853322278 M=4228
A=8265 B=8272 C=8329 X=562900600 Y=8910976724 Z=78704283328 M=1885
A=2340 B=3432 C=8851 X=213505240 Y=3772652014 Z=35716798727 M=4192
A=7071 B=8424 C=6385 X=608910810 Y=3368881595 Z=31314096025 M=2082
A=7776 B=5359 C=5676 X=977408702 Y=1352564767 Z=56297170034 M=7769
A=3608 B=8673 C=6930 X=275862133 Y=5123230545 Z=60017534487 M=1361
A=6006 B=8045 C=8107 X=176409769 Y=6053566189 Z=13380222106 M=4698
A=4375 B=6555 C=8254 X=790307428 Y=7000197533 Z=80608804306 M=4248
A=7307 B=8620 C=8244 X=865610539 Y=6955433814 Z=51285573554 M=7897
A=8888 B=5051 C=9769 X=593391205 Y=4216489676 Z=51949743020 M=2881
A=9585 B=5606 C=8286 X=569815908 Y=6933399976 Z=74861668053 M=6345
A=2181 B=3276 C=7123 X=701307347 Y=6575935418 Z=22795384282 M=9703
A=6810 B=5195 C=9832 X=222258597 Y=9461608781 Z=15477944858 M=6265
A=6891 B=9517 C=6349 X=775286967 Y=8547503765 Z=40480758824 M=6121
A=5501 B=8997 C=8022 X=981614650 Y=9005343713 Z=81460938608 M=2554
A=3652 B=3625 C=9864 X=861161795 Y=8340035841 Z=44868195383 M=4912
A=8970 B=7102 C=6381 X=712375264 Y=1103642098 Z=18516812530 M=4874
A=3692 B=9323 C=6519 X=524182138 Y=1283393955 Z=33156946712 M=2933
A=9900 B=9195 C=9531 X=505120639 Y=7419753281 Z=67806203648 M=5577
A=6102 B=8013 C=9293 X=889424347 Y=1048543423 Z=46806486802 M=4369
A=9550 B=3674 C=6035 X=732252418 Y=3129406185 Z=43446437149 M=3424
A=7086 B=5821 C=8427 X=631448230 Y=2591347298 Z=88331026276 M=7745
A=5647 B=4893 C=6293 X=701431053 Y=4853418872 Z=65409020015 M=1105
A=8450 B=7885 C=8494 X=785919933 Y=1380164018 Z=68623096441 M=1347
A=5598 B=9646 C=5218 X=211644850 Y=9208169479 Z=99112144151 M=6157
A=5200 B=3579 C=5833 X=589456204 Y=3867228406 Z=15830379116 M=3698
A=4825 B=6261 C=7480 X=864497240 Y=3760546366 Z=55627547252 M=4351
A=7797 B=9170 C=8687 X=708560513 Y=3131016440 Z=84917344698 M=4931
A=7724 B=6079 C=5298 X=233051152 Y=5242498041 Z=81748889185 M=9851
A=4499 B=6177 C=5867 X=888568984 Y=7118592740 Z=20741599883 M=5630
A=9950 B=5701 C=6278 X=624389359 Y=8532420012 Z=40744217143 M=1634
A=8506 B=6635 C=9152 X=280807918 Y=7105844621 Z=98952725557 M=5414
A=8267 B=8587 C=5011 X=398470081 Y=1111037176 Z=84264283258 M=7884
A=4031 B=9034 C=7415 X=266442587 Y=1927974442 Z=34984280943 M=6231
A=2308 B=9822 C=6864 X=125188152 Y=6456355126 Z=69828541893 M=2363
A=8234 B=6683 C=6981 X=828635185 Y=1927036901 Z=42572216619 M=7476
A=2018 B=5851 C=7585 X=239362645 Y=8906295212 Z=38217294754 M=2157
A=3300 B=9305 C=9907 X=998737998 Y=3606524901 Z=51254792282 M=1707
A=4736 B=4328 C=8650 X=634583762 Y=9756772682 Z=39711328310 M=5198
A=6036 B=7677 C=7585 X=486716632 Y=3137260002 Z=60580468893 M=4178
A=4399 B=3749 C=6119 X=948485735 Y=7361646054 Z=65084505192 M=9286
A=8135 B=3100 C=6590 X=748921167 Y=1549173750 Z=79005933861 M=2548
A=2391 B=6875 C=5392 X=287356150 Y=1096866522 Z=99540052128 M=2894
A=3115 B=3235 C=8906 X=482565870 Y=8954991002 Z=41989414998 M=4457
A=9826 B=8875 C=8830 X=200960484 Y=4758680385 Z=32840651272 M=4281
A=8738 B=8265 C=6075 X=640958569 Y=4416335362 Z=88255823195 M=9868
A=5739 B=4727 C=7585 X=390640880 Y=5430540651 Z=58930287948 M=7085
A=7511 B=3510 C=7477 X=707950825 Y=1316706139 Z=76079912724 M=3827
A=9041 B=7941 C=7398 X=842546747 Y=3267691811 Z=49886898998 M=7868
A=4490 B=8526 C=8425 X=971942776 Y=3718182919 Z=93164141535 M=4612
A=2269 B=7315 C=7049 X=563810924 Y=2383634916 Z=60891881531 M=5046
A=5875 B=7654 C=5262 X=866292449 Y=3248094923 Z=39691517028 M=6065
A=5584 B=8627 C=9949 X=616951614 Y=5304446652 Z=69800281438 M=7492
A=4939 B=3872 C=8868 X=476940067 Y=9529570264 Z=65402740743 M=7135
A=8266 B=5493 C=5611 X=375492294 Y=8003892166 Z=39420139603 M=9627
A=8391 B=7623 C=8425 X=630284919 Y=4056948097 Z=97510816799 M=9107
A=8996 B=6397 C=6576 X=100378653 Y=5700075401 Z=79690126956 M=7019
A=9522 B=4941 C=8569 X=124725681 Y=8636100861 Z=11459907110 M=1758
A=9143 B=3945 C=8678 X=255083065 Y=2473187615 Z=58754283443 M=8229
A=8186 B=7146 C=5390 X=157224618 Y=2850015903 Z=52757933245 M=9686
A=6887 B=9918 C=6748 X=642197382 Y=2592234373 Z=61029558402 M=5369
A=2888 B=7686 C=6192 X=484600796 Y=5757071132 Z=93171995447 M=3898
A=8813 B=9049 C=8627 X=822191944 Y=1976237364 Z=11963882933 M=8781
A=6621 B=4508 C=5268 X=677606467 Y=8128565912 Z=35370358235 M=5284
A=9723 B=5003 C=7385 X=988441204 Y=4477211213 Z=63124460356 M=5358
A=8614 B=5352 C=9020 X=735172490 Y=2395253025 Z=52528489022 M=9836
A=7801 B=3754 C=7543 X=274469383 Y=8173028023 Z=66164364197 M=9142
A=9795 B=7781 C=7170 X=790228933 Y=1058505476 Z=43468940336 M=7220
A=7518 B=6321 C=7656 X=914452615 Y=7754861698 Z=38229059395 M=2406
A=3958 B=9214 C=8284 X=141917490 Y=6878800711 Z=21211479415 M=5822
A=9539 B=8964 C=8270 X=205784518 Y=3345266789 Z=39100549874 M=3214
A=7527 B=6308 C=7972 X=967451819 Y=1616023196 Z=80237060981 M=7024
A=5654 B=9974 C=5282 X=441570646 Y=8925326128 Z=39951830518 M=6938
A=5739 B=9247 C=9970 X=878809663 Y=5711044322 Z=34903456690 M=7874
A=9450 B=6930 C=6099 X=366092945 Y=9932762315 Z=51894565211 M=6522
A=9454 B=5265 C=7264 X=359737313 Y=3056937443 Z=48384436572 M=1574
A=3763 B=4141 C=5885 X=477473304 Y=4851856156 Z=85706638112 M=5800
A=4718 B=7026 C=8269 X=211628977 Y=3552802536 Z=89557424632 M=2122
A=4800 B=6507 C=5175 X=428093685 Y=3059851966 Z=58759315410 M=4931
A=6548 B=3081 C=6913 X=323883695 Y=4370422948 Z=66318337684 M=9771
A=9088 B=7661 C=5699 X=909644342 Y=9386160733 Z=73863455339 M=4635
A=9374 B=6960 C=9258 X=292614005 Y=9113318557 Z=47939615911 M=9604
A=7107 B=3286 C=5490 X=809270546 Y=1035266400 Z=89755101773 M=4423
A=6154 B=4261 C=6533 X=969572910 Y=6521904821 Z=35369293481 M=3404
A=8680 B=9449 C=6855 X=558161544 Y=2970692926 Z=75516350867 M=8512
A=3972 B=3957 C=8373 X=748884786 Y=8066432590 Z=56677631031 M=6397
A=2667 B=8818 C=9253 X=544925951 Y=9140534341 Z=48484687351 M=4621
A=6352 B=6745 C=8338 X=500120712 Y=5912687251 Z=75650367562 M=5199
A=7507 B=8329 C=6240 X=941567600 Y=8752895762 Z=53450757877 M=4045
A=2040 B=9590 C=7739 X=788743726 Y=7920326231 Z=36814335969 M=2962
A=9695 B=7606 C=5233 X=181664753 Y=7806281331 Z=11531459213 M=4475
A=2667 B=6668 C=6465 X=965659843 Y=2073842387 Z=87685107082 M=3459
A=5371 B=9533 C=9829 X=786155985 Y=9203673091 Z=88038045206 M=2526
A=9873 B=9377 C=7814 X=166674579 Y=9546624549 Z=11179450442 M=4743
A=3058 B=4229 C=8373 X=186478281 Y=1379813855 Z=72243650958 M=7666
A=5862 B=9375 C=8166 X=742601354 Y=1639855925 Z=81618144576 M=5769
A=9494 B=7364 C=7616 X=566554254 Y=2713198788 Z=40138807152 M=1303
A=5531 B=7212 C=6491 X=216940955 Y=5876296637 Z=68191375250 M=4574
A=2445 B=6631 C=5176 X=253988114 Y=1021362300 Z=74038546190 M=9151
A=6872 B=3356 C=9849 X=885684981 Y=9482853144 Z=12138664711 M=4101
A=7896 B=3329 C=6832 X=201290710 Y=3061673040 Z=65883112151 M=4184
A=8035 B=6012 C=8385 X=558251868 Y=4706028826 Z=81689713603 M=3071
A=8500 B=4697 C=6205 X=714080166 Y=1322800488 Z=68343935626 M=4631
A=4706 B=3850 C=7204 X=565906616 Y=2882067855 Z=75948804911 M=5137
A=6585 B=4430 C=5276 X=322577079 Y=6947764317 Z=87253825424 M=5793
A=2609 B=6468 C=9666 X=134607969 Y=8209664747 Z=26274553914 M=7133
A=4651 B=4924 C=6253 X=963119197 Y=3404297200 Z=49542904251 M=7773
A=2114 B=4371 C=8328 X=410922085 Y=2069606654 Z=92450359580 M=9611
A=9847 B=3215 C=5550 X=888486059 Y=6680988092 Z=12536619806 M=3966
A=9593 B=4873 C=7704 X=441398051 Y=8975540780 Z=40797285093 M=6140
A=2755 B=7574 C=9810 X=726848847 Y=1716640048 Z=20796149246 M=8806
A=7687 B=6221 C=8314 X=207565161 Y=3535287246 Z=89311888716 M=7889
A=8061 B=7270 C=9854 X=582798062 Y=2538269152 Z=85229357407 M=3255
A=8432 B=8302 C=9342 X=267999699 Y=1772262992 Z=79821715481 M=1327
A=3776 B=4033 C=5945 X=788153120 Y=4837198495 Z=33245277369 M=6138
A=5402 B=6375 C=9722 X=329658783 Y=9323518239 Z=91897951107 M=4215
A=4562 B=3017 C=6198 X=197335494 Y=4789208823 Z=31514993859 M=6236
A=6662 B=3695 C=8834 X=676227644 Y=4347673343 Z=82214231312 M=8309
A=2168 B=4074 C=9638 X=535925094 Y=3681753820 Z=20652120225 M=6243
A=7273 B=6153 C=6036 X=798250602 Y=7609907040 Z=72693993333 M=6523
A=7544 B=8740 C=6243 X=509294266 Y=9247197004 Z=50335992544 M=8459
A=4381 B=3508 C=8545 X=908428437 Y=3706192234 Z=33731309000 M=9845
A=6633 B=9179 C=8847 X=159571766 Y=1085013926 Z=73958177482 M=7132
A=7837 B=9043 C=8637 X=281664793 Y=3727312081 Z=60570475884 M=2346
A=6371 B=9568 C=6960 X=129784559 Y=6288568897 Z=68303274924 M=7220
A=9382 B=9271 C=8855 X=312180312 Y=6263371155 Z=39322381500 M=7571
A=9268 B=8667 C=8425 X=633249019 Y=6715825544 Z=18786398279 M=2410
A=5686 B=7735 C=9353 X=938268677 Y=9686193067 Z=70976863718 M=9472
A=4035 B=8679 C=5688 X=630907103 Y=9622161668 Z=12486685549 M=7252
A=7434 B=3919 C=9009 X=430923203 Y=5204121488 Z=79438568733 M=9445
A=2897 B=5830 C=9081 X=738947037 Y=6695139129 Z=30668048403 M=5998
A=9736 B=6661 C=9392 X=621445968 Y=6562586375 Z=17679684331 M=3423
A=2037 B=3705 C=5656 X=689399691 Y=2169130736 Z=18741384975 M=1978
A=5324 B=8503 C=8526 X=751076952 Y=8489959791 Z=87100659975 M=5385
A=2590 B=8816 C=6558 X=565299166 Y=7659034386 Z=74738570453 M=5707
A=7701 B=9855 C=7081 X=308982211 Y=8434257931 Z=37934655966 M=4448
A=9790 B=3540 C=8528 X=841902166 Y=1236141243 Z=94184458993 M=2941
A=3739 B=7948 C=6295 X=596336125 Y=5177207362 Z=56685805210 M=5362
A=5855 B=5209 C=6252 X=985784326 Y=7255492596 Z=87745458654 M=3703
A=9765 B=9266 C=6510 X=334536034 Y=2415021253 Z=69487868295 M=9854
A=8832 B=9826 C=9252 X=936790332 Y=8330269649 Z=12319786253 M=9695
A=2038 B=5508 C=5972 X=423496049 Y=9772900389 Z=85630982051 M=8074
A=7894 B=9764 C=5961 X=266344160 Y=7216091679 Z=43234404880 M=2832
A=3871 B=9631 C=8663 X=946648956 Y=5778612103 Z=87740462162 M=7166
A=8496 B=7781 C=9503 X=845300534 Y=6643155211 Z=60569463837 M=1439
A=4238 B=8537 C=9416 X=942526702 Y=7876155720 Z=65996304500 M=6542
A=4690 B=7807 C=5928 X=662709844 Y=8207153041 Z=58941047878 M=6045
A=4631 B=6326 C=8982 X=461317343 Y=5071348065 Z=56701969536 M=9089
A=6647 B=6565 C=8041 X=302437201 Y=5130139132 Z=83724847962 M=4793
A=8664 B=8037 C=5951 X=932783592 Y=6241296821 Z=74745327455 M=7471
A=8194 B=3470 C=9533 X=814583152 Y=4170097984 Z=38660777490 M=3915
A=9204 B=8577 C=5378 X=393493208 Y=4890486557 Z=41167611027 M=7571
A=2550 B=5186 C=7442 X=970662328 Y=1213574504 Z=20894119903 M=3229
A=4121 B=3049 C=6837 X=978701756 Y=2968266405 Z=16545968375 M=8928
A=6415 B=4322 C=9021 X=164013763 Y=4354539626 Z=69876457964 M=8998
A=7185 B=4932 C=7066 X=653658125 Y=4977847862 Z=62311137082 M=1116
A=2432 B=7099 C=8357 X=582862825 Y=5268044479 Z=12330872663 M=9618
